Epoch,Net Sparsity
1,0.39167433168777943
2,0.39098302440387483
3,0.3903504175981123
4,0.39193096435668157
5,0.3925921937096374
6,0.3958129579607551
7,0.39942182454669645
8,0.40265374673994037
9,0.4049474315387481
10,0.40711740871833085
11,0.4095527508693492
12,0.4115155784277198
13,0.4135361362083954
14,0.415457727893691
15,0.417180902260308
16,0.418838099230005
17,0.42039535984848486
18,0.4218104779868356
19,0.42336482783780427
20,0.4249351869100845
21,0.42662585770615996
22,0.42848826378539495
23,0.43022162583830104
24,0.43188318895926475
25,0.4335229213238947
26,0.4350399163251366
27,0.43650257699950323
28,0.43795990126676604
29,0.43929885432190763
30,0.4406247089232489
