Epoch,Training Time (s)
1,114.29006028175354
2,116.75752830505371
3,113.33662724494934
4,117.95566868782043
5,117.1745879650116
6,118.59832453727722
7,117.08117604255676
8,116.9278473854065
9,115.72453165054321
10,117.95734286308289
11,115.7782666683197
12,116.82378363609314
13,112.34847092628479
14,114.87364482879639
15,121.20015335083008
16,118.31346154212952
17,117.45723509788513
18,114.71615982055664
19,116.7969331741333
20,114.2677161693573
21,115.64541506767273
22,113.61258172988892
23,118.65500402450562
24,117.46304559707642
25,118.08149480819702
26,115.15600252151489
27,115.4540445804596
28,117.00708174705505
29,115.00559163093567
30,118.51897525787354
