Epoch,Net Sparsity
1,0.9932059046177139
2,0.9933454769114307
3,0.9933454769114307
4,0.9934022520817563
5,0.9934542959878879
6,0.9934590272520818
7,0.9934613928841787
8,0.9934661241483724
9,0.9934755866767601
10,0.9935867713853141
11,0.9957158402725208
12,0.9958364875094625
13,0.995940575321726
14,0.9960281037093112
15,0.9960588569265708
16,0.9960896101438305
17,0.9970784443603331
18,0.9971115632096896
19,0.9971304882664648
20,0.9971636071158213
21,0.9972156510219531
22,0.9972605980317941
23,0.9972653292959879
24,0.9974640423921272
25,0.9974829674489023
26,0.9975208175624527
27,0.9975326457229372
28,0.9975539364118092
29,0.9975752271006812
30,0.997582323996972
