Epoch,Net Sparsity
1,0.510874748995984
2,0.5223268072289157
3,0.5581450803212852
4,0.5730515813253012
5,0.5979762801204819
6,0.6218875502008032
7,0.6381557479919678
8,0.6487732178714859
9,0.6574014809236948
10,0.6662744728915663
11,0.6767664407630523
12,0.6863610692771084
13,0.6931036646586345
14,0.6982178714859437
15,0.7031626506024097
16,0.7075238453815261
17,0.7120074046184739
18,0.7160328815261044
19,0.7202183734939759
20,0.7243724899598394
21,0.7285799447791165
22,0.7323512801204819
23,0.7360347640562249
24,0.7394044929718876
25,0.7427491214859437
26,0.7455227158634539
27,0.7488704819277109
28,0.7519892068273092
29,0.7547063253012049
30,0.7569277108433735
