Epoch,Net Sparsity
1,0.3939534443603331
2,0.4139241105223316
3,0.43070117335352004
4,0.4379068887206662
5,0.4413228614685844
6,0.44313493565480694
7,0.4442775359576079
8,0.4451480885692657
9,0.44609197577592735
10,0.44698145344436035
11,0.448038890991673
12,0.4497090272520818
13,0.4539056585919758
14,0.46713190764572293
15,0.501755299015897
16,0.5151731642694928
17,0.5310087055261166
18,0.5429953633610901
19,0.5531888720666162
20,0.5685654806964421
21,0.5862769682059046
22,0.6031959689629068
23,0.6172265329295988
24,0.6275052043906132
25,0.6342519871309614
26,0.6405209121877365
27,0.6467780090840273
28,0.653172312641938
29,0.6590580052990159
30,0.664896385314156
