Epoch,Net Sparsity
1,0.35839101345798235
2,0.3582818599753442
3,0.3581999948633655
4,0.35809405177727555
5,0.3579624255188001
6,0.3578147472775837
7,0.3576285442777892
8,0.3573652917608383
9,0.35701214814053833
10,0.3564342767618656
11,0.3553026119786316
12,0.35216444935278407
13,0.34918841175261967
14,0.34847730891719747
15,0.3476859461680707
16,0.3467035648243271
17,0.34538730223957265
18,0.3443985001027327
19,0.343626399732895
20,0.34301160879391823
21,0.34250115574275736
22,0.34206935740702693
23,0.3417467125539347
24,0.34141604170947193
25,0.3410950020546538
26,0.3406953076844052
27,0.3403774784261352
28,0.3401607766591329
29,0.3399071553318266
30,0.33963748202177935
