Epoch,Net Sparsity
1,0.9971285278502235
2,0.9972037226775956
3,0.9972493247019374
4,0.9973201533780427
5,0.9973885564145554
6,0.9974176640896671
7,0.9974875225099354
8,0.9976063788499752
9,0.9976354865250869
10,0.9976631388164431
11,0.9977009787940885
12,0.997717958271237
13,0.997735422876304
14,0.9977621049118232
15,0.9977819951564829
16,0.9977955787382017
17,0.9978067366803278
18,0.9978125582153502
19,0.9978246864133135
20,0.9978271120529061
21,0.9978339038437656
22,0.9978358443554396
23,0.9978392402508693
24,0.9978440915300546
25,0.9978465171696473
26,0.9978494279371585
27,0.9978542792163437
28,0.997858160239692
29,0.9978634966467959
30,0.9978659222863885
