Epoch,Net Sparsity
1,0.3585707956646805
2,0.35870563231970415
3,0.35859808403534005
4,0.3584134862338196
5,0.3588501001643723
6,0.3662083290528046
7,0.4067732946373536
8,0.41899687949455516
9,0.4294419046640641
10,0.44041504006574894
11,0.4487074943497021
12,0.4541105917402918
13,0.4585585961577974
14,0.46241267721388946
15,0.46538068882268335
16,0.4683808043969591
17,0.47101653996301623
18,0.47340346979658926
19,0.4755560406821451
20,0.4778225806451613
21,0.47998157232381344
22,0.4822416914937333
23,0.48446970669817135
24,0.4867699558249435
25,0.4888262148140538
26,0.49098841688925415
27,0.4932196424902404
28,0.4955487851859462
29,0.4978281667351551
30,0.5000561819395932
