Epoch,Net Sparsity
1,0.9970329576502732
2,0.997095054023845
3,0.9971508437344759
4,0.9972779472491307
5,0.997793153098609
6,0.9978479725534029
7,0.9978989109848485
8,0.9979226822528564
9,0.9979396617300049
10,0.9979547006954794
11,0.9979653735096871
12,0.9979842934985097
13,0.9979978770802285
14,0.9980041837431693
15,0.9980080647665176
16,0.9980197078365624
17,0.9980255293715847
18,0.9980328062903626
19,0.9980410534649776
20,0.9980987836872827
21,0.9981065457339792
22,0.9981104267573274
23,0.9981215846994536
24,0.9981269211065574
25,0.9981327426415797
26,0.9981429303278688
27,0.9981477816070542
28,0.9981560287816692
29,0.9981584544212618
30,0.9981628205725286
