Epoch,Value
1,0.43552814635561116
2,0.4467231315822865
3,0.4496103875505284
4,0.4505490148095782
5,0.452763880580782
6,0.45407410680298005
7,0.4552863351278844
8,0.45645098065872713
9,0.45857691192198236
1,0.46093395961353706
2,0.4624067603821125
3,0.4630967108960067
4,0.4657182962640709
5,0.466667686297968
6,0.4677241376185038
7,0.46985516703826563
8,0.47198223122518895
9,0.4736238376203165
10,0.47582737415483894
11,0.47782301919625864
12,0.4790873620098972
13,0.4811821378722787
14,0.48238813511700834
15,0.4830497625391992
16,0.4843044755016586
17,0.48551896967389924
18,0.4869113328620371
19,0.4878222034912176
20,0.48870078579585624
21,0.48946324342451103
22,0.490226833976834
23,0.49097229775046675
24,0.4915823771457574
25,0.4921210823499556
26,0.492821229176863
27,0.49317186905215077
28,0.4938550220240361
29,0.4941025658455236
30,0.4943438785868363
31,0.49456423224028856
32,0.4949363976652709
33,0.49539863052186994
34,0.4958710596914822
35,0.49640863197201224
36,0.4972747521163014
37,0.4977992957746479
38,0.49818505628364784
39,0.498799100911777
40,0.49911292076785035
41,0.4991944912719561
42,0.4996108407199957
43,0.49984648884296773
44,0.5003540386462921
45,0.5005285088911849
46,0.5007494290064712
47,0.5012326209509308
48,0.5017010848877046
49,0.5022873728859645
50,0.5025054606920805
51,0.5025723031885003
52,0.5026329146047456
53,0.502677665089637
54,0.5027178838798557
55,0.5027462069715591
56,0.502770564830424
57,0.5027892580709482
58,0.5028175811626516
59,0.5028951864339188
60,0.5029512661554915
61,0.503046998205449
62,0.5031297016332228
63,0.503165955190603
64,0.5032441269237043
65,0.5034055685464136
66,0.50349280366886
67,0.5035607790889481
68,0.5036298874327043
69,0.5037556419598673
70,0.5038847952580346
71,0.5039776949988217
72,0.5040705947396088
73,0.50416406094223
74,0.5042037132706146
75,0.5042422326753313
76,0.504290381931227
77,0.5043379647252887
78,0.5043464616527997
79,0.5043872469048526
80,0.5044455924737615
81,0.5044982734243297
82,0.5045792774666014
83,0.5046699113600522
84,0.5047815043413635
85,0.5048103938949009
86,0.5048568437652945
87,0.5050063896894883
88,0.5050369786285279
89,0.5050488743270434
90,0.5051236472891403
91,0.5051338436021534
92,0.5051542362281799
93,0.5051678313121976
94,0.5051842587053854
95,0.5051978537894031
96,0.5052165470299274
97,0.505230708575779
98,0.5052324079612812
99,0.5052301421139449
