Epoch,Value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.07594936341047287
6,0.2150537669658661
7,0.2526315748691559
8,0.296875
9,0.24719101190567017
1,0.2916666567325592
2,0.36036035418510437
3,0.42276424169540405
4,0.43971630930900574
5,0.46399998664855957
6,0.42038217186927795
7,0.48695650696754456
8,0.42038217186927795
9,0.447761207818985
10,0.41830065846443176
11,0.42384105920791626
12,0.4651162922382355
13,0.3535911738872528
14,0.36464089155197144
15,0.3586956560611725
16,0.3764705955982208
17,0.3191489279270172
18,0.3680981695652008
19,0.4342857003211975
20,0.3645320236682892
21,0.40993788838386536
22,0.34972676634788513
23,0.33695653080940247
24,0.380952388048172
25,0.35754188895225525
26,0.375
27,0.378947377204895
28,0.3282051384449005
29,0.35353535413742065
30,0.3384615480899811
31,0.3186813294887543
32,0.3756345212459564
33,0.33000001311302185
34,0.4021163880825043
35,0.34871795773506165
36,0.3684210479259491
37,0.31578946113586426
38,0.3232323229312897
39,0.3560209572315216
40,0.3709677457809448
41,0.3606557250022888
42,0.4025973975658417
43,0.3730570077896118
44,0.3488371968269348
45,0.3444976210594177
46,0.28729280829429626
47,0.2702702581882477
48,0.30434781312942505
49,0.34554973244667053
50,0.3243243098258972
51,0.3645833432674408
52,0.2978723347187042
53,0.2967033088207245
54,0.3560209572315216
55,0.3027026951313019
56,0.3560209572315216
57,0.34375
58,0.36082473397254944
59,0.3541666567325592
60,0.3505154550075531
61,0.3263157904148102
62,0.3368421196937561
63,0.33507853746414185
64,0.35353535413742065
65,0.35353535413742065
66,0.3645833432674408
67,0.31683167815208435
68,0.3469387888908386
69,0.34871795773506165
70,0.29629629850387573
71,0.30434781312942505
72,0.28717949986457825
73,0.34517765045166016
74,0.2967033088207245
75,0.30000001192092896
76,0.3681592047214508
77,0.3199999928474426
78,0.3199999928474426
79,0.3232323229312897
80,0.3737373650074005
81,0.3333333432674408
82,0.31313130259513855
83,0.34343433380126953
84,0.35175880789756775
85,0.37185928225517273
86,0.3216080367565155
87,0.3316583037376404
88,0.3216080367565155
89,0.3316583037376404
90,0.36000001430511475
91,0.30000001192092896
92,0.3316583037376404
93,0.35175880789756775
94,0.3499999940395355
95,0.3199999928474426
96,0.33000001311302185
97,0.33000001311302185
98,0.34825870394706726
99,0.3199999928474426
