Epoch,Training Time (s)
1,188.58837270736694
2,187.46594429016113
3,190.10732007026672
4,188.13321614265442
5,192.2375066280365
6,193.12795519828796
7,189.81184315681458
8,189.4163420200348
9,190.97175359725952
10,190.25286197662354
11,194.9818480014801
12,190.08197903633118
13,188.15025901794434
14,184.3942048549652
15,188.70484256744385
16,190.867778301239
17,189.717915058136
18,189.68712949752808
19,188.67795157432556
20,188.191335439682
21,186.61185932159424
22,190.27241802215576
23,188.56774735450745
24,182.39110040664673
25,188.22428846359253
26,187.34165453910828
27,193.43962621688843
28,199.83977937698364
29,192.66861844062805
30,194.0259313583374
