Epoch,Training Time (s)
1,102.32878875732422
2,100.64211773872375
3,102.66151523590088
4,103.93877720832825
5,102.02207636833191
6,103.30424332618713
7,105.37141180038452
8,102.88477778434753
9,101.56069827079773
10,101.68677043914795
11,104.80772519111633
12,103.30756449699402
13,101.45052480697632
14,100.7778148651123
15,101.0453360080719
16,100.16021156311035
17,102.32229018211365
18,101.59151005744934
19,101.68347883224487
20,100.11814761161804
21,100.94387316703796
22,99.73099160194397
23,101.66712737083435
24,102.1514790058136
25,101.20918202400208
26,99.50809168815613
27,99.11015129089355
28,98.52507376670837
29,99.4151201248169
30,98.59993362426758
