Epoch,Training Time (s)
1,146.63473200798035
2,145.2056701183319
3,144.80383324623108
4,144.8366732597351
5,143.46952319145203
6,144.40713620185852
7,143.75500774383545
8,144.04661464691162
9,144.15510082244873
10,144.4550712108612
11,144.3645842075348
12,144.74780464172363
13,143.44103288650513
14,144.45898962020874
15,145.61818528175354
16,144.22207283973694
17,142.1739730834961
18,143.6705071926117
19,143.7383086681366
20,143.5076982975006
21,143.39244508743286
22,145.00234651565552
23,143.49247193336487
24,144.04858493804932
25,143.9670913219452
26,142.80128931999207
27,143.55834794044495
28,141.9288113117218
29,141.83160638809204
30,144.55283975601196
