Epoch,Net Sparsity,Validation Loss,Node_0,Node_1,Node_2
1,0.3801409005526577,0.6864888140559197,1.0,1.0,1.0
2,0.378832025428465,0.6779286560416221,1.0,1.0,1.0
3,0.37644034479011423,0.6677743715047836,1.0,1.0,1.0
4,0.3714954359165425,0.6373714891076088,1.0,1.0,1.0
5,0.36762168948708396,0.6157858768105506,1.0,1.0,1.0
6,0.3652314642324888,0.6002437645196914,1.0,1.0,1.0
7,0.3617860857550919,0.572315317094326,1.0,1.0,1.0
8,0.3576091343765524,0.534874021857977,1.0,1.0,1.0
9,0.3536854197714853,0.5002558024227619,1.0,1.0,1.0
10,0.3505020103700944,0.4738578848540783,1.0,1.0,1.0
11,0.3479977800546448,0.45500243291258813,1.0,1.0,1.0
12,0.3458025762232986,0.439273929297924,1.0,1.0,1.0
13,0.3438601240375062,0.425053850710392,1.0,1.0,1.0
14,0.3420064502608048,0.4114168384671211,1.0,1.0,1.0
15,0.3401658749379036,0.3986202096939087,1.0,1.0,1.0
16,0.33856252716716345,0.38713358774781226,1.0,1.0,1.0
17,0.33709889623695977,0.3769167001545429,1.0,1.0,1.0
18,0.3358239800670641,0.36795267820358274,1.0,1.0,1.0
19,0.33471352226154993,0.3598782353103161,1.0,1.0,1.0
20,0.33375685000620964,0.3521611279249191,1.0,1.0,1.0
21,0.3328234638909588,0.34463462501764297,1.0,1.0,1.0
22,0.33195945106805763,0.33743745341897013,1.0,1.0,1.0
23,0.3310740926167412,0.3306885574758053,1.0,1.0,1.0
24,0.3302488900273224,0.32435972973704336,1.0,1.0,1.0
25,0.3295566124875807,0.31834390729665757,1.0,1.0,1.0
26,0.3288274652260308,0.3125537495315075,1.0,1.0,1.0
27,0.3280575672193244,0.3069703271985054,1.0,1.0,1.0
28,0.32733909277198214,0.3015865521132946,1.0,1.0,1.0
29,0.3266584583022851,0.29642642274498937,1.0,1.0,1.0
30,0.32607096839294586,0.2915178389847279,1.0,1.0,1.0
