Epoch,Net Sparsity
1,0.3801409005526577
2,0.378832025428465
3,0.37644034479011423
4,0.3714954359165425
5,0.36762168948708396
6,0.3652314642324888
7,0.3617860857550919
8,0.3576091343765524
9,0.3536854197714853
10,0.3505020103700944
11,0.3479977800546448
12,0.3458025762232986
13,0.3438601240375062
14,0.3420064502608048
15,0.3401658749379036
16,0.33856252716716345
17,0.33709889623695977
18,0.3358239800670641
19,0.33471352226154993
20,0.33375685000620964
21,0.3328234638909588
22,0.33195945106805763
23,0.3310740926167412
24,0.3302488900273224
25,0.3295566124875807
26,0.3288274652260308
27,0.3280575672193244
28,0.32733909277198214
29,0.3266584583022851
30,0.32607096839294586
