Epoch,Training Time (s)
1,120.17535758018494
2,115.1420431137085
3,120.64595866203308
4,119.17110443115234
5,118.68445014953613
6,118.65985131263733
7,122.03996872901917
8,118.38462018966675
9,121.18442296981812
10,122.46935486793518
11,126.85365200042725
12,118.80163598060608
13,118.56656694412231
14,119.27575087547302
15,120.27591347694397
16,121.31279039382935
17,118.98071503639221
18,121.88357639312744
19,123.81750965118408
20,120.65552949905396
21,118.7986090183258
22,121.25359773635864
23,116.92927551269531
24,122.98475933074951
25,122.10104131698608
26,123.3033173084259
27,123.5373911857605
28,121.61018919944763
29,122.65475606918335
30,123.9049346446991
