Epoch,Value
0,0.0038232835941016674
1,0.40853095054626465
2,0.42818140983581543
3,0.3988044559955597
4,0.4680113196372986
5,0.3330712914466858
6,0.38505035638809204
7,0.4889221787452698
8,0.39083170890808105
9,0.43721458315849304
10,0.34079551696777344
11,0.43165358901023865
12,0.57574462890625
13,0.49697384238243103
14,0.5531059503555298
15,0.5468957424163818
16,0.5582773685455322
17,0.5328804850578308
18,0.510148286819458
19,0.5233950018882751
20,0.5971044301986694
21,0.5692936182022095
22,0.6059215068817139
23,0.6219180822372437
24,0.5982469916343689
25,0.5910462737083435
26,0.5905442237854004
27,0.592648446559906
28,0.6175999045372009
29,0.6162230968475342
30,0.6218249797821045
31,0.632135272026062
32,0.6312121152877808
33,0.6486235857009888
34,0.6313246488571167
35,0.6015645861625671
36,0.6149390935897827
37,0.6072792410850525
38,0.6320050358772278
39,0.6308301091194153
40,0.6392315030097961
41,0.6352652907371521
42,0.6417308449745178
43,0.6420478820800781
44,0.5873222351074219
45,0.6395820379257202
46,0.6234164834022522
47,0.6189755797386169
48,0.5975802540779114
49,0.6271446943283081
50,0.6443209648132324
51,0.6474806666374207
52,0.6320614814758301
53,0.6723094582557678
54,0.6235824823379517
55,0.6718899011611938
56,0.6782687902450562
57,0.6097404956817627
58,0.6311346292495728
59,0.6418750882148743
60,0.5733520984649658
61,0.596005380153656
62,0.6538442373275757
63,0.6606069803237915
64,0.6509197950363159
65,0.6328665614128113
66,0.6321073174476624
67,0.6355993151664734
68,0.6596297025680542
69,0.6648988127708435
70,0.6340125203132629
71,0.69767165184021
72,0.6553255319595337
73,0.64979088306427
74,0.6374033689498901
75,0.6269087195396423
76,0.6601349711418152
77,0.6553016304969788
78,0.6578376293182373
79,0.6736758947372437
80,0.669878363609314
81,0.6385608315467834
82,0.6176276206970215
83,0.6323423981666565
84,0.6435766816139221
85,0.6634352207183838
86,0.6642280220985413
87,0.6374040842056274
88,0.6489627957344055
89,0.6533910632133484
90,0.644152820110321
91,0.6512859463691711
92,0.6283861994743347
93,0.6619039177894592
94,0.6223476529121399
95,0.6391538977622986
96,0.649662435054779
97,0.6027594804763794
98,0.6425774693489075
99,0.6204371452331543
100,0.6387550234794617
101,0.6126211881637573
102,0.6125482320785522
103,0.6219491958618164
104,0.6584285497665405
105,0.6207141876220703
106,0.5997259020805359
107,0.6502509713172913
108,0.6590713858604431
109,0.6237132549285889
110,0.6045287251472473
111,0.6478678584098816
112,0.645054280757904
113,0.6157265901565552
114,0.6508382558822632
115,0.6532822847366333
116,0.6462054252624512
117,0.606681227684021
118,0.641044020652771
119,0.6209492683410645
120,0.6132677793502808
121,0.6271315217018127
122,0.6108546853065491
123,0.6431860327720642
124,0.6035186052322388
125,0.6186791658401489
126,0.615728497505188
127,0.6394040584564209
128,0.6260811686515808
129,0.646043598651886
130,0.6436386108398438
131,0.6059846878051758
132,0.6316430568695068
133,0.6318250894546509
134,0.6328403949737549
135,0.6296095252037048
136,0.6262161135673523
137,0.6235795021057129
138,0.6264191269874573
139,0.5902352333068848
140,0.6371793746948242
141,0.6160836219787598
142,0.6187567114830017
143,0.6162595152854919
144,0.6063223481178284
145,0.6044208407402039
146,0.6347000598907471
147,0.6260674595832825
148,0.6245994567871094
149,0.6041539907455444
150,0.6461628079414368
151,0.6130006909370422
152,0.6229798793792725
153,0.6091388463973999
154,0.6296738982200623
155,0.6300508379936218
156,0.6110619902610779
157,0.5998930335044861
158,0.6252474188804626
159,0.6183837652206421
160,0.5923354029655457
161,0.614935576915741
162,0.6347144842147827
163,0.5962195992469788
164,0.6470020413398743
165,0.616256833076477
166,0.6250836253166199
167,0.5852621793746948
168,0.6276015639305115
169,0.6137604117393494
170,0.6276795268058777
171,0.6328403353691101
172,0.6098514795303345
173,0.6148653626441956
174,0.6435499787330627
175,0.5992406010627747
176,0.6404630541801453
177,0.6325103044509888
178,0.6050226092338562
179,0.6206493973731995
180,0.606062114238739
181,0.6179194450378418
182,0.6245103478431702
183,0.6165362000465393
184,0.6102442145347595
185,0.6074175238609314
186,0.6079142093658447
187,0.598330557346344
188,0.6169272065162659
189,0.6116181015968323
190,0.6203927397727966
191,0.6262795925140381
192,0.6126514673233032
193,0.6544129848480225
194,0.6092104315757751
195,0.6413131952285767
196,0.5964887738227844
197,0.615281879901886
198,0.6188769340515137
199,0.6256999373435974
