Epoch,Net Sparsity
1,0.3997461129547689
2,0.39917093012536875
3,0.3981681531157817
4,0.39556321825835794
5,0.38516057107300883
6,0.3851280189896755
7,0.3850937384771386
8,0.385062338679941
9,0.385032379240413
10,0.38500530051622417
11,0.38496573869223205
12,0.3849162864122419
13,0.3848527186270895
14,0.38475573454400197
15,0.384652989030236
16,0.38450780097713866
17,0.38431335269174044
18,0.38405312807276304
19,0.3836679764319076
20,0.38313321964110125
21,0.3822715976831367
22,0.38075806984390365
23,0.3782880484882006
24,0.37621412549164207
25,0.3755719180186824
26,0.37525331090216324
27,0.37493431969026547
28,0.3746044777839233
29,0.37424995774950837
30,0.37387863354228124
