Epoch,Training Time (s)
1,44.250813484191895
2,44.248714208602905
3,44.18916153907776
4,44.13779616355896
5,44.31113839149475
6,44.404462575912476
7,44.49034833908081
8,44.4195773601532
9,44.53240346908569
10,43.98202395439148
11,44.14499759674072
12,44.272937536239624
13,44.596084117889404
14,44.387001276016235
15,43.88954734802246
16,44.17637801170349
17,44.57561731338501
18,44.476850509643555
19,44.461605072021484
20,44.514567852020264
21,44.17518424987793
22,44.45736837387085
23,44.59468650817871
24,44.51921033859253
25,44.18665671348572
26,44.269599199295044
27,44.73471641540527
28,44.708394289016724
29,44.34144902229309
30,44.34526085853577
