Epoch,Training Time (s)
1,95.23653793334961
2,94.51594710350037
3,95.76556921005249
4,94.78554034233093
5,93.26841592788696
6,94.42291235923767
7,93.53704023361206
8,94.62732243537903
9,94.12108659744263
10,94.85120153427124
11,93.85236501693726
12,93.81489610671997
13,94.38266134262085
14,94.67878842353821
15,95.02060866355896
16,90.98918771743774
17,90.9120032787323
18,90.81760954856873
19,90.85525155067444
20,91.78012371063232
21,90.98075222969055
22,91.74094080924988
23,91.4794065952301
24,91.6645438671112
25,91.71687364578247
26,90.59530782699585
27,92.47405767440796
28,91.9453604221344
29,91.77749013900757
30,92.05818605422974
