Epoch,Validation Loss,Sparsity
1,0.138189764321,0.983909762326
2,0.113923134245,0.983968947932
3,0.10349972643,0.983978650491
4,0.0973493361846,0.983986897665
5,0.0929222567007,0.983988838177
6,0.0895918444172,0.983989323305
7,0.0874775822461,0.983989323305
8,0.0856717929617,0.983989323305
9,0.0844317552447,0.983989808433
10,0.0827018241212,0.983989808433
11,0.0812502596155,0.983989808433
12,0.0808656018227,0.983989808433
13,0.079612631388,0.983989808433
14,0.0793396298587,0.983989808433
15,0.0784250734001,0.983989808433
16,0.078025169149,0.983989808433
17,0.07716128245,0.983989808433
18,0.0765936361626,0.983989808433
19,0.0764570335299,0.983989808433
20,0.0766968582198,0.983989808433
