Epoch,Validation Loss,Sparsity
1,0.429967282265,0.407341537817
2,0.312106552571,0.426006349354
3,0.252911939174,0.441025909712
4,0.218764510602,0.452777163282
5,0.197063559592,0.461982465537
6,0.182044564113,0.469652823056
7,0.170115152672,0.476719681446
8,0.160724753588,0.482882261395
9,0.153117254972,0.488736785115
10,0.146751056015,0.493843726714
11,0.141335076019,0.498766804831
12,0.136709898375,0.503320215474
13,0.132658689991,0.507568965785
14,0.129072576314,0.511782301757
15,0.125887075551,0.515790913748
16,0.122945096008,0.519572485873
17,0.120282959491,0.523197846808
18,0.11778524179,0.526748012916
19,0.115495641306,0.530349602583
20,0.113371161185,0.533667392418
