Epoch,Training Time (s)
1,95.86132574081421
2,93.69423222541809
3,94.89312171936035
4,94.25625658035278
5,93.37701916694641
6,95.22433662414551
7,93.78589987754822
8,94.45538258552551
9,92.0742437839508
10,92.64920258522034
11,93.27421951293945
12,95.60476875305176
13,95.89687037467957
14,97.6996500492096
15,96.97729849815369
16,96.3520622253418
17,95.27032804489136
18,95.41483426094055
19,94.08067917823792
20,92.61530375480652
21,92.6242516040802
22,92.73661375045776
23,92.3622088432312
24,92.31464433670044
25,92.55650496482849
26,93.24578189849854
27,121.48605680465698
28,93.41258668899536
29,93.43187856674194
30,92.86372399330139
