Epoch,Net Sparsity
1,0.5023719879518073
2,0.5137016817269077
3,0.5552961847389558
4,0.5743128765060241
5,0.5988234186746988
6,0.623644578313253
7,0.645105421686747
8,0.6656689257028112
9,0.6796749497991967
10,0.6915254769076306
11,0.7035862198795181
12,0.7128200301204819
13,0.7196661646586345
14,0.7259381275100402
15,0.731281375502008
16,0.7363234186746987
17,0.7413309487951807
18,0.7457423443775101
19,0.7504580823293173
20,0.7548161395582329
21,0.759359312248996
22,0.7632843875502008
23,0.7671310240963856
24,0.7705635040160642
25,0.7735253514056225
26,0.7763052208835342
27,0.7794772841365462
28,0.7818931977911646
29,0.784312248995984
30,0.786304593373494
