Epoch,Net Sparsity
1,0.9978969530658592
2,0.9979844814534443
3,0.9979915783497351
4,0.9979915783497351
5,0.9984079295987888
6,0.9984126608629826
7,0.9984150264950795
8,0.9984173921271764
9,0.9984197577592733
10,0.9984197577592733
11,0.9991980507191521
12,0.9991980507191521
13,0.9991980507191521
14,0.999202781983346
15,0.9992122445117335
16,0.9992169757759273
17,0.9992335352006056
18,0.9992406320968963
19,0.9992500946252839
20,0.999316332323997
21,0.9993352573807721
22,0.9993423542770629
23,0.9993494511733535
24,0.9993518168054504
25,0.9993541824375474
26,0.9993565480696442
27,0.9993565480696442
28,0.9993589137017411
29,0.9993589137017411
30,0.9993589137017411
