Epoch,Net Sparsity
1,0.359569228991165
2,0.35950181066365317
3,0.35943278713786725
4,0.35933326484487366
5,0.3588998613108691
6,0.35735726576946786
7,0.3517342562153277
8,0.3504244144236696
9,0.3495688437435792
10,0.34966355044175057
11,0.35034575970823917
12,0.35106649373330595
13,0.3515303960345182
14,0.3519124332237518
15,0.3523683095335936
16,0.35270700636942676
17,0.35303767721388946
18,0.35324474779124715
19,0.35359468101499897
20,0.3538691699198685
21,0.3540617937127594
22,0.3543234410314362
23,0.35454335319498664
24,0.354832288884323
25,0.35507948941853296
26,0.3552271676597493
27,0.35549042017670024
28,0.3556862543661393
29,0.3558724573659338
30,0.3560249512019725
