Epoch,Net Sparsity
1,0.38227668433005296
2,0.38053794473883423
3,0.3783331756245269
4,0.37656368281604846
5,0.37535011355034065
6,0.37447956093868284
7,0.373928368660106
8,0.37350965177895534
9,0.37316426949280845
10,0.3728354466313399
11,0.3725563020439061
12,0.3722582323996972
13,0.37202166919000756
14,0.37170940575321726
15,0.371373485995458
16,0.37086724072672217
17,0.37003926949280846
18,0.36878548448145343
19,0.36629683951551856
20,0.3624101059803179
21,0.36143783118849354
22,0.3600775927327782
23,0.35849498485995457
24,0.35654570401211205
25,0.3548519114307343
26,0.3534348978046934
27,0.3517907834973505
28,0.35022000378501134
29,0.3485711582134746
30,0.3467235995457986
