Epoch,Net Sparsity,Validation Loss,Node_0,Node_1,Node_2
1,0.510874748995984,0.6845426377654076,1.0,1.0,1.0
2,0.5223268072289157,0.6808474749326706,1.0,1.0,1.0
3,0.5581450803212852,0.6329621368646622,1.0,1.0,1.0
4,0.5730515813253012,0.6123225763440132,1.0,1.0,1.0
5,0.5979762801204819,0.5631349261105061,1.0,1.0,1.0
6,0.6218875502008032,0.5001399199664592,1.0,1.0,1.0
7,0.6381557479919678,0.46892288222908973,1.0,1.0,1.0
8,0.6487732178714859,0.4456599254906177,1.0,1.0,1.0
9,0.6574014809236948,0.4280050081014633,1.0,1.0,1.0
10,0.6662744728915663,0.40981883347034453,1.0,1.0,1.0
11,0.6767664407630523,0.39216888293623925,1.0,1.0,1.0
12,0.6863610692771084,0.3767112711071968,1.0,1.0,1.0
13,0.6931036646586345,0.36413835257291793,1.0,1.0,1.0
14,0.6982178714859437,0.35532639041543007,1.0,1.0,1.0
15,0.7031626506024097,0.3471024258434772,1.0,1.0,1.0
16,0.7075238453815261,0.3388524729013443,1.0,1.0,1.0
17,0.7120074046184739,0.33068280667066574,1.0,1.0,1.0
18,0.7160328815261044,0.32278858214616774,1.0,1.0,1.0
19,0.7202183734939759,0.3146802164614201,1.0,1.0,1.0
20,0.7243724899598394,0.3063816043734551,1.0,1.0,1.0
21,0.7285799447791165,0.298678288012743,1.0,1.0,1.0
22,0.7323512801204819,0.29191247418522837,1.0,1.0,1.0
23,0.7360347640562249,0.2859445956349373,1.0,1.0,1.0
24,0.7394044929718876,0.2804691824316978,1.0,1.0,1.0
25,0.7427491214859437,0.27531504176557065,1.0,1.0,1.0
26,0.7455227158634539,0.2705364469438791,1.0,1.0,1.0
27,0.7488704819277109,0.266177861019969,1.0,1.0,1.0
28,0.7519892068273092,0.26212849222123624,1.0,1.0,1.0
29,0.7547063253012049,0.25828129224479196,1.0,1.0,1.0
30,0.7569277108433735,0.254578550234437,1.0,1.0,1.0
