Epoch,Net Sparsity
1,0.38835341365461845
2,0.37005208333333334
3,0.3690982680722892
4,0.36718122489959837
5,0.3632906626506024
6,0.35975778112449797
7,0.3577277861445783
8,0.3558483935742972
9,0.35301518574297186
10,0.34953564257028114
11,0.3464639809236948
12,0.3435648845381526
13,0.3411238704819277
14,0.3389432730923695
15,0.3370952560240964
16,0.33493348393574296
17,0.3328972138554217
18,0.3310523343373494
19,0.3293768825301205
20,0.32774221887550203
21,0.32645268574297187
22,0.32537023092369477
23,0.3241246234939759
24,0.3229166666666667
25,0.32201932730923694
26,0.3210655120481928
27,0.32016817269076303
28,0.3194465361445783
29,0.31869666164658633
30,0.3180346385542169
