Epoch,Value
0,0.007591786328703165
1,0.5384543538093567
2,0.5519942045211792
3,0.5398399829864502
4,0.5889876484870911
5,0.4848179519176483
6,0.5343559384346008
7,0.6028270125389099
8,0.5399500727653503
9,0.5805683732032776
10,0.49675682187080383
11,0.581699550151825
12,0.6375495195388794
13,0.6312057971954346
14,0.6594840884208679
15,0.6635044813156128
16,0.6698832511901855
17,0.6630324721336365
18,0.6504890322685242
19,0.6592605710029602
20,0.6975104808807373
21,0.685987114906311
22,0.6997621655464172
23,0.7003743052482605
24,0.704798698425293
25,0.7039398550987244
26,0.7059494256973267
27,0.7115261554718018
28,0.7176753878593445
29,0.7209408283233643
30,0.7151681780815125
31,0.7183603048324585
32,0.7214184403419495
33,0.729357898235321
34,0.7243568897247314
35,0.7160117626190186
36,0.7257483005523682
37,0.7112647294998169
38,0.7315683960914612
39,0.7352208495140076
40,0.7362493872642517
41,0.7314159274101257
42,0.7337871789932251
43,0.7389407157897949
44,0.7062159776687622
45,0.7356299161911011
46,0.7278804779052734
47,0.7308659553527832
48,0.7176316380500793
49,0.7314719557762146
50,0.7380486130714417
51,0.7404273748397827
52,0.737675130367279
53,0.7360267043113708
54,0.7331103682518005
55,0.7423713803291321
56,0.7210103869438171
57,0.7238046526908875
58,0.7347862720489502
59,0.7373151779174805
60,0.7033970952033997
61,0.7101392149925232
62,0.7389582991600037
63,0.7412043809890747
64,0.7400593757629395
65,0.7329610586166382
66,0.7354559898376465
67,0.7338210940361023
68,0.7414887547492981
69,0.7371485233306885
70,0.7294201254844666
71,0.7233113050460815
72,0.7417935132980347
73,0.7355759739875793
74,0.7283894419670105
75,0.7303959131240845
76,0.7344358563423157
77,0.7360670566558838
78,0.7360803484916687
79,0.7361858487129211
80,0.7363226413726807
81,0.7308816313743591
82,0.7200275659561157
83,0.7278915047645569
84,0.7260387539863586
85,0.7307708859443665
86,0.7332267761230469
87,0.7268873453140259
88,0.7257729172706604
89,0.732644259929657
90,0.7249322533607483
91,0.7319869995117188
92,0.7262778878211975
93,0.7338437438011169
94,0.7231970429420471
95,0.7233874797821045
96,0.724046528339386
97,0.7106755971908569
98,0.7237030267715454
99,0.7221801280975342
