Epoch,Training Time (s)
1,43.78393292427063
2,43.726574659347534
3,43.611592531204224
4,43.80073070526123
5,43.85752582550049
6,43.41341495513916
7,43.50435185432434
8,43.4727246761322
9,43.796443700790405
10,43.519203424453735
11,43.80985164642334
12,43.623194456100464
13,43.406036376953125
14,43.41210913658142
15,43.42512512207031
16,43.99561333656311
17,44.05187249183655
18,43.78752636909485
19,43.62718987464905
20,43.496849060058594
21,43.42831897735596
22,43.29013991355896
23,43.62020254135132
24,43.848806858062744
25,43.66749429702759
26,43.80092525482178
27,43.74249601364136
28,43.22193503379822
29,43.88313603401184
30,43.859978675842285
