Epoch,Value
0,0.001138463499955833
1,0.34887954592704773
2,0.3923855721950531
3,0.39014333486557007
4,0.49421584606170654
5,0.35323983430862427
6,0.29418250918388367
7,0.4712861180305481
8,0.37418240308761597
9,0.46760475635528564
10,0.38730180263519287
11,0.40699344873428345
12,0.5627300143241882
13,0.4809240400791168
14,0.5414761900901794
15,0.5568166375160217
16,0.5598416328430176
17,0.5391830205917358
18,0.5451764464378357
19,0.5440688729286194
20,0.5821956992149353
21,0.5158711075782776
22,0.5718737244606018
23,0.5977470874786377
24,0.5525466203689575
25,0.5747489929199219
26,0.6134456992149353
27,0.5340266823768616
28,0.6030902862548828
29,0.5878623127937317
30,0.5835925936698914
31,0.6112856864929199
32,0.5824730396270752
33,0.6260719299316406
34,0.638464629650116
35,0.6564192175865173
36,0.5986934304237366
37,0.6366576552391052
38,0.5000638365745544
39,0.6303161978721619
40,0.6517611145973206
41,0.6163244843482971
42,0.6039645075798035
43,0.61480313539505
44,0.5457200407981873
45,0.6374900341033936
46,0.6430847644805908
47,0.5755941271781921
48,0.6065672039985657
49,0.5479297041893005
50,0.6259918212890625
51,0.6615023016929626
52,0.6132475733757019
53,0.6734580397605896
54,0.6613297462463379
55,0.6132550239562988
56,0.6796481013298035
57,0.571070671081543
58,0.640673816204071
59,0.6594933271408081
60,0.6598396301269531
61,0.6270523071289062
62,0.662846028804779
63,0.6760511994361877
64,0.6007923483848572
65,0.6405045986175537
66,0.5475130081176758
67,0.6492754817008972
68,0.679928183555603
69,0.6851809024810791
70,0.6535694003105164
71,0.6762081980705261
72,0.6758713722229004
73,0.6914615631103516
74,0.6538562178611755
75,0.6800116300582886
76,0.5984032154083252
77,0.6700913906097412
78,0.564612865447998
79,0.635036826133728
80,0.6455018520355225
81,0.5884278416633606
82,0.686194658279419
83,0.667421281337738
84,0.6863139271736145
85,0.6258203983306885
86,0.6613484621047974
87,0.6677842736244202
88,0.6882193684577942
89,0.6787009835243225
90,0.6726057529449463
91,0.6631619334220886
92,0.6612597703933716
93,0.6636173129081726
94,0.66140074491500854
95,0.665252685546875
96,0.6472078561782837
97,0.6680753827095032
98,0.7027592062950134
99,0.5961349606513977
