Epoch,Net Sparsity
1,0.39933916390117996
2,0.3987140486725664
3,0.3980711690326942
4,0.4175575758972468
5,0.41809578954646015
6,0.4181257489859882
7,0.41814399351647
8,0.41816953585914457
9,0.4182124585176991
10,0.41827554618362833
11,0.4183424748033432
12,0.4184344656465093
13,0.41857456443584073
14,0.41884708010693217
15,0.41942351124631266
16,0.42092868501106195
17,0.42608257282448375
18,0.43133987831858406
19,0.4316450420968535
20,0.43193465001229103
21,0.43233843027900687
22,0.4330716683566863
23,0.4340015632681908
24,0.43496756314528023
25,0.43584838987217306
26,0.4367066509955752
27,0.4379002273844641
28,0.4398622826020157
29,0.4441249731133235
30,0.44936461022000984
