Epoch,Net Sparsity,Validation Loss,Node_0,Node_1,Node_2,Node_3
1,0.39933916390117996,0.9844158121943474,1.0,1.0,1.0,1.0
2,0.3987140486725664,0.9702018582820893,1.0,1.0,1.0,1.0
3,0.3980711690326942,0.9553930589556694,1.0,1.0,1.0,1.0
4,0.4175575758972468,0.6861126440763473,1.0,1.0,1.0,1.0
5,0.41809578954646015,0.6837504702806473,1.0,1.0,1.0,1.0
6,0.4181257489859882,0.6834171572327614,1.0,1.0,1.0,1.0
7,0.41814399351647,0.683187617957592,1.0,1.0,1.0,1.0
8,0.41816953585914457,0.6830009657144547,1.0,1.0,1.0,1.0
9,0.4182124585176991,0.6828304487466812,1.0,1.0,1.0,1.0
10,0.41827554618362833,0.6826616683602333,1.0,1.0,1.0,1.0
11,0.4183424748033432,0.6824818313121795,1.0,1.0,1.0,1.0
12,0.4184344656465093,0.6822743612527847,1.0,1.0,1.0,1.0
13,0.41857456443584073,0.6820083126425743,1.0,1.0,1.0,1.0
14,0.41884708010693217,0.6816062879562378,1.0,1.0,1.0,1.0
15,0.41942351124631266,0.6808155602216721,1.0,1.0,1.0,1.0
16,0.42092868501106195,0.6783107605576515,1.0,1.0,1.0,1.0
17,0.42608257282448375,0.6577380329370499,1.0,1.0,1.0,1.0
18,0.43133987831858406,0.6229949471354485,1.0,1.0,1.0,1.0
19,0.4316450420968535,0.6184693303704262,1.0,1.0,1.0,1.0
20,0.43193465001229103,0.6163890060782432,1.0,1.0,1.0,1.0
21,0.43233843027900687,0.6145162984728814,1.0,1.0,1.0,1.0
22,0.4330716683566863,0.6116012099385262,1.0,1.0,1.0,1.0
23,0.4340015632681908,0.6073228386044502,1.0,1.0,1.0,1.0
24,0.43496756314528023,0.6027377727627754,1.0,1.0,1.0,1.0
25,0.43584838987217306,0.5995018857717515,1.0,1.0,1.0,1.0
26,0.4367066509955752,0.5972161456942559,1.0,1.0,1.0,1.0
27,0.4379002273844641,0.5947592604160309,1.0,1.0,1.0,1.0
28,0.4398622826020157,0.5903582587838173,1.0,1.0,1.0,1.0
29,0.4441249731133235,0.5747925493121148,1.0,1.0,1.0,1.0
30,0.44936461022000984,0.5526949878036976,1.0,1.0,1.0,1.0
