Epoch,Training Time (s)
1,171.13261127471924
2,169.70468735694885
3,169.91820764541626
4,168.54381275177002
5,168.44528150558472
6,172.52093243598938
7,170.46923685073853
8,169.88776469230652
9,169.15556812286377
10,167.64101839065552
11,169.16077971458435
12,168.1028597354889
13,168.5734736919403
14,165.8936243057251
15,167.09005737304688
16,169.30048441886902
17,170.59788489341736
18,171.2356984615326
19,172.30111598968506
20,166.5022931098938
21,167.3169548511505
22,167.07836961746216
23,166.48151993751526
24,169.25898361206055
25,167.44437265396118
26,167.6898295879364
27,169.77319264411926
28,168.9398729801178
29,168.92262864112854
30,168.87487721443176
