Epoch,Validation Loss,Sparsity
1,1.00628134608,0.985105117517
2,1.00424876809,0.988026072715
3,1.00144651532,0.988086713705
4,0.997273415327,0.988156572125
5,0.990157693624,0.988215272603
6,0.976210922003,0.988276883849
7,0.944818139076,0.988338980222
8,0.867529422045,0.988374879688
9,0.717399507761,0.988395740189
10,0.68662405014,0.988412719666
11,0.669453948736,0.98842339248
12,0.668586552143,0.988429214015
13,0.665424227715,0.988433095038
14,0.665361732244,0.988440371957
15,0.664086401463,0.98844667862
16,0.663526833057,0.988461717586
17,0.663026630878,0.988464143225
18,0.662453711033,0.988466568865
19,0.66177302599,0.988468024249
20,0.661036521196,0.988470449888
21,0.660182535648,0.988478211935
22,0.659154444933,0.988485003726
23,0.657916456461,0.988489369877
24,0.656411170959,0.988507804738
25,0.654565662146,0.98853303139
26,0.652296632528,0.988551466251
27,0.649518013,0.988563594449
28,0.646140426397,0.988576692902
29,0.642111212015,0.988583969821
30,0.637451410294,0.988603860066
31,0.632310956717,0.988624720566
32,0.627018779516,0.988636848764
33,0.622043311596,0.988653343114
34,0.617862671614,0.988674688742
35,0.614730417728,0.988691668219
36,0.612554490566,0.988708647696
37,0.610987573862,0.988739210755
38,0.609668105841,0.988746487674
39,0.608388006687,0.988753764593
40,0.607076078653,0.988759101
41,0.605722397566,0.988763952279
42,0.6043215096,0.988769288686
43,0.602860301733,0.98878238714
44,0.601321667433,0.988793545082
45,0.599682927132,0.988797426105
46,0.597920030355,0.988807613792
47,0.596006780863,0.988833810699
48,0.593910962343,0.988840117362
49,0.591595560312,0.988848364537
50,0.589023202658,0.988858067095
51,0.5861518085,0.988864858886
52,0.582940667868,0.988873106061
53,0.579349339008,0.98888960041
54,0.575337946415,0.988898332712
55,0.570890158415,0.98891046091
56,0.566013485193,0.988919193213
57,0.56074410677,0.988925014748
58,0.555171608925,0.988941509097
59,0.549441277981,0.988963824981
60,0.543728232384,0.988980319331
61,0.538207769394,0.988997783936
62,0.533032864332,0.989010397262
63,0.528284102678,0.989029802378
64,0.523963272572,0.989044841344
65,0.520018935204,0.989066186972
66,0.516379535198,0.989080255682
67,0.513009399176,0.989102571566
68,0.50988945365,0.989115184892
69,0.507017582655,0.989125857706
70,0.504369944334,0.989138471032
71,0.501895084977,0.989146718207
72,0.499530389905,0.989155935637
73,0.497216835618,0.989166123323
74,0.494912773371,0.989174370498
75,0.492610439658,0.98918552844
76,0.490329295397,0.989199112022
77,0.488107323647,0.989209784836
78,0.48599101603,0.989213665859
79,0.484019741416,0.989224823802
80,0.482217282057,0.98923210072
81,0.48058488965,0.989249565325
82,0.47910580039,0.989256357116
